ID,ANHO,TRIMESTRE,DIVISION,CALIFICACION_GENERAL,TIPO_DE_SERVICIO,PREGUNTA_01,PREGUNTA_02A,PREGUNTA_02B,PREGUNTA_02C,PREGUNTA_02D,PREGUNTA_02E,PREGUNTA_03,PREGUNTA_04,PREGUNTA_05,PREGUNTA_06,PREGUNTA_07,PREGUNTA_08
1,2018,1,CENTRAL,SATISFACTORIA,2. AFILIACIONES,1. EXCELENTE,AMABILIDAD,CONFIANZA,NO RESPONDE,NO RESPONDE,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
2,2018,1,CENTRAL,SATISFACTORIA,2. AFILIACIONES,1. EXCELENTE,AMABILIDAD,NO RESPONDE,AGILIDAD,NO RESPONDE,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
3,2018,1,CENTRAL,SATISFACTORIA,2. AFILIACIONES,1. EXCELENTE,AMABILIDAD,CONFIANZA,AGILIDAD,SEGURIDAD,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
4,2018,1,CENTRAL,SATISFACTORIA,2. AFILIACIONES,1. EXCELENTE,AMABILIDAD,CONFIANZA,AGILIDAD,SEGURIDAD,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
5,2018,1,CENTRAL,SATISFACTORIA,2. AFILIACIONES,1. EXCELENTE,AMABILIDAD,NO RESPONDE,AGILIDAD,NO RESPONDE,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
6,2018,1,CENTRAL,SATISFACTORIA,2. AFILIACIONES,1. EXCELENTE,AMABILIDAD,NO RESPONDE,NO RESPONDE,SEGURIDAD,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
7,2018,1,CENTRAL,SATISFACTORIA,2. AFILIACIONES,1. EXCELENTE,AMABILIDAD,NO RESPONDE,NO RESPONDE,NO RESPONDE,OTRAS,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
8,2018,1,CENTRAL,ACEPTABLE,2. AFILIACIONES,1. EXCELENTE,AMABILIDAD,NO RESPONDE,NO RESPONDE,NO RESPONDE,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
9,2018,1,CENTRAL,ACEPTABLE,2. AFILIACIONES,1. EXCELENTE,AMABILIDAD,NO RESPONDE,NO RESPONDE,NO RESPONDE,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
10,2018,1,CENTRAL,ACEPTABLE,2. AFILIACIONES,1. EXCELENTE,AMABILIDAD,NO RESPONDE,NO RESPONDE,NO RESPONDE,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
11,2018,1,CENTRAL,ACEPTABLE,2. AFILIACIONES,1. EXCELENTE,AMABILIDAD,NO RESPONDE,NO RESPONDE,NO RESPONDE,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
12,2018,1,CENTRAL,ACEPTABLE,2. AFILIACIONES,1. EXCELENTE,AMABILIDAD,NO RESPONDE,NO RESPONDE,NO RESPONDE,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
13,2018,1,CENTRAL,SATISFACTORIA,2. AFILIACIONES,1. EXCELENTE,AMABILIDAD,NO RESPONDE,AGILIDAD,NO RESPONDE,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
14,2018,1,CENTRAL,SATISFACTORIA,2. AFILIACIONES,1. EXCELENTE,AMABILIDAD,NO RESPONDE,AGILIDAD,NO RESPONDE,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
15,2018,1,CENTRAL,SATISFACTORIA,3. PENSIONES,2. BUENO,AMABILIDAD,CONFIANZA,AGILIDAD,NO RESPONDE,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
16,2018,1,CENTRAL,SATISFACTORIA,3. PENSIONES,1. EXCELENTE,AMABILIDAD,NO RESPONDE,NO RESPONDE,SEGURIDAD,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
17,2018,1,CENTRAL,SATISFACTORIA,3. PENSIONES,1. EXCELENTE,AMABILIDAD,NO RESPONDE,AGILIDAD,NO RESPONDE,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
18,2018,1,CENTRAL,ACEPTABLE,3. PENSIONES,1. EXCELENTE,AMABILIDAD,NO RESPONDE,NO RESPONDE,NO RESPONDE,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
19,2018,1,CENTRAL,SATISFACTORIA,3. PENSIONES,1. EXCELENTE,AMABILIDAD,CONFIANZA,AGILIDAD,SEGURIDAD,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
20,2018,1,CENTRAL,SATISFACTORIA,3. PENSIONES,1. EXCELENTE,AMABILIDAD,CONFIANZA,AGILIDAD,SEGURIDAD,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
21,2018,1,CENTRAL,SATISFACTORIA,2. AFILIACIONES,1. EXCELENTE,AMABILIDAD,NO RESPONDE,AGILIDAD,NO RESPONDE,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
22,2018,1,CENTRAL,SATISFACTORIA,2. AFILIACIONES,1. EXCELENTE,AMABILIDAD,NO RESPONDE,AGILIDAD,NO RESPONDE,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
23,2018,1,CENTRAL,SATISFACTORIA,2. AFILIACIONES,2. BUENO,AMABILIDAD,CONFIANZA,AGILIDAD,SEGURIDAD,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
